citation_key,title,venue,year,url,problem,input_data,temporal_semantics,generated_representation,verification,feedback_loop,datasets,baselines,metrics,limitations,relationship_to_this_work
kenda2019streaming,Streaming Data Fusion for the Internet of Things,Sensors (MDPI) 19(8):1955,2019,https://doi.org/10.3390/s19081955,Integrating heterogeneous sensor streams into ML-ready feature vectors by enriching sensor data with contextual and historical information; demonstrated on cloud and edge.,Heterogeneous IoT sensor streams plus weather forecasts and static/contextual data (energy/smart-meter; substation; train telemetry; smart lamp; traffic counter).,NO event-time vs availability-time distinction. Lookback offsets are raw array-index arithmetic assuming uniform ticks; on a detected timestamp misalignment the code logs an error and proceeds with the wrong row. Late-data policy is an inconsistent per-node-type monotonicity guard and is absent from three node types. Timezone/DST unspecified (host-local JS Date). Source read at rev 708053a; see docs/original_system_audit.md.,Hand-authored JSON node/attribute configuration. Features are per-node lag offsets plus QMiner stream aggregates (ma/min/max/variance/EMA over declared windows). No generation - human-specified.,None. Misalignment is logged not rejected; window boundary semantics are delegated to closed-source QMiner aggregates and are untested in-repo; a written out-of-order test exists but is commented out.,None.,Proprietary Slovenian deployments (smart meter; substation; train; smart lamp; traffic counter) plus Dark-Sky-shaped weather forecasts.,Data-driven models with vs without fused contextual and historical features.,Reported as significant improvement in accuracy of data-driven models applied to sensor streams; specific metrics not given in abstract.,Abstract states framework and fast-prototyping benefits only. The temporal limitations above are audit findings that the paper itself does not state.,TODO (researcher)
hollmann2023caafe,Large Language Models for Automated Data Science: Introducing CAAFE for Context-Aware Automated Feature Engineering,NeurIPS 2023 (NeurIPS Proceedings vol. 36) Main Conference Track,2023,https://papers.nips.cc/paper_files/paper/2023/hash/8c2df4c35cdbee764ebb9e9d0acd5197-Abstract-Conference.html,Incorporating domain knowledge into AutoML by having an LLM generate semantically meaningful features from natural-language dataset descriptions.,Tabular datasets with dataset descriptions (pandas DataFrames).,Not addressed - i.i.d. tabular setting; no time ordering; no availability time; no chronological split.,Python code that creates new features plus natural-language explanations of each feature's utility.,Syntax of generated Python is scrutinised against a whitelist of allowed operations before execution (repo README). README states this does NOT prevent infinite loops or excessive resource usage and warns that auto-executing AI-generated code carries inherent risk. No temporal; unit; or state-bound checking.,Yes - iteratively generates code; verifies each candidate by cross-validation; feeds performance back to the LLM; keeps only features that improve performance.,14 tabular datasets (names not stated in abstract).,Logistic regression and random forest; AutoML without LLM feature engineering.,ROC AUC - mean improvement 0.798 to 0.822 across datasets.,Not stated in abstract. Repo README notes code-execution risk; bias replication; and API cost.,TODO (researcher)
nam2024octree,Optimized Feature Generation for Tabular Data via LLMs with Decision Tree Reasoning,NeurIPS 2024 (NeurIPS Proceedings vol. 37) Main Conference Track,2024,https://papers.nips.cc/paper_files/paper/2024/hash/a7ebe2e8d8cfd2fcec6cd77f9e6fd34d-Abstract-Conference.html,Automated feature engineering beyond pre-defined search spaces and validation-score-only selection; aims to reuse reasoning from prior experiments.,Tabular data for prediction tasks.,Not addressed - tabular; no time ordering.,Natural-language feature-generation rules produced by the LLM; decision trees used to encode reasoning about prior experiments.,Not stated in abstract (full text not read). Selection is by validation score rather than by correctness checking.,Yes - decision-tree-derived language reasoning about past experiments is fed back for iterative rule improvement.,Diverse benchmarks; not named in abstract.,Competing automated feature engineering methods and deep learning approaches; not named in abstract.,Not stated in abstract.,Not stated in abstract.,TODO (researcher)
abhyankar2025llmfe,LLM-FE: Automated Feature Engineering for Tabular Data with LLMs as Evolutionary Optimizers,Transactions on Machine Learning Research (TMLR),2025,https://arxiv.org/abs/2503.14434,Fixed manually-designed AutoFE search spaces; and LLM approaches that use direct prompting or validation scores alone and so miss insights from prior experiments.,Tabular data - classification and regression.,Not addressed.,Feature transformation programs; the task is framed explicitly as program search.,Not stated in abstract (full text not read).,Yes - evolutionary search combining LLM reasoning with data-driven feedback from prior discovery experiments.,Not stated in abstract.,State-of-the-art baselines; not named in abstract.,Classification and regression benchmark performance; specific metrics not stated in abstract.,Not stated in abstract.,TODO (researcher)
kuken2024simple,Large Language Models Engineer Too Many Simple Features For Tabular Data,3rd Table Representation Learning Workshop @ NeurIPS 2024,2024,https://arxiv.org/abs/2410.17787,Empirical study of operator-selection bias. Central finding: LLMs are biased toward simple operators such as addition and can fail to use more complex operators such as grouping followed by aggregation; this harms predictive performance.,Tabular data.,Not addressed.,Engineered features derived from LLM-suggested operators applied to existing tabular columns.,Not a verification paper. Method is anomaly detection over LLM operator-frequency distributions plus measurement of predictive-performance impact.,Not addressed.,27 tabular datasets.,Comparison across four LLMs (two frontier; two open-source) rather than against competing methods.,Operator frequency distribution analysis; predictive performance (specific metrics not stated in abstract).,Not stated in abstract.,TODO (researcher)
karami2026featehr,FeatEHR-LLM: Leveraging Large Language Models for Feature Engineering in Electronic Health Records,arXiv preprint (cs.LG),2026,https://arxiv.org/abs/2604.22534,Feature engineering for EHR under irregular observation intervals; variable measurement frequencies; and structural sparsity in clinical time series. Existing methods either lack clinical awareness or assume clean inputs.,Irregular and sparse clinical time series (EHR). Operates on dataset schemas and task descriptions rather than raw patient records.,Closest temporal handling in the reading list: a tool-augmented generation mechanism supplies specialised routines for querying irregular temporal data and explicitly handles uneven observation patterns and informative sparsity. No event-time vs availability-time distinction and no leakage verification stated in abstract.,Executable feature-extraction code for univariate and multivariate features.,Iterative validation-in-the-loop pipeline. This is performance validation; not correctness verification (per abstract).,Yes - validation-in-the-loop iterative refinement.,Eight clinical prediction tasks across four ICU datasets.,Strong baselines; not named in abstract.,AUROC - highest mean AUROC on 7 of 8 tasks; improvements up to 6 percentage points.,Not stated in abstract.,TODO (researcher)
patherya2025flashfusion,Flash-Fusion: Enabling Expressive Low-Latency Queries on IoT Sensor Streams with LLMs,arXiv preprint (cs.DC) - under review,2025,https://arxiv.org/abs/2511.11885,Expensive IoT data collection producing terabytes of low-level readings; and slow analysis that requires iterative effort and technical expertise.,IoT sensor streams (evaluated on university bus fleet telemetry).,Streaming sensor data with edge-based statistical summarisation. No explicit window specification; availability time; or leakage handling stated in abstract.,Cloud-based query plans - clusters behavioural data and assembles context-rich prompts. Produces queries and summaries; not feature programs.,Not addressed. Quality assessed as response quality relative to a raw-data baseline.,Not stated in abstract.,University bus fleet deployment; proprietary; no public dataset mentioned.,Feeding raw IoT telemetry directly to a state-of-the-art LLM.,95% latency reduction; 98% token usage and cost reduction; 73.5% data reduction via edge summarisation.,Not stated in abstract.,TODO (researcher)
yeh2025dcats,Empowering Time Series Forecasting with LLM-Agents (DCATS),arXiv preprint,2025,https://arxiv.org/abs/2508.04231,Argues that improving data quality rather than model architecture is the productive axis for AutoML-style time series forecasting systems.,Time series data - traffic volume forecasting.,Not stated in abstract.,DCATS (Data-Centric Agent for Time Series) uses metadata accompanying the series to clean data while optimising forecasting performance; output representation not detailed in abstract.,Not addressed.,Not stated in abstract.,Large-scale traffic volume forecasting dataset.,Four time series forecasting models; not named in abstract.,Error reduction percentage.,Not stated in abstract.,TODO (researcher)
feast_pit_joins,Feast documentation: point-in-time joins,Software documentation (Feast feature store),n.d. (accessed 2026-09-09),https://docs.feast.dev/getting-started/concepts/point-in-time-joins,Reproducing the state of features at a specific point in the past when building training datasets; so that a model does not learn from values that would not have been available at inference.,Feature views joined against an entity dataframe carrying timestamps.,Two distinct timestamps - event timestamp (when the event occurred; the join scans backward from the entity timestamp up to a TTL) and created timestamp (when the value was written or backfilled; used to deduplicate rows sharing an event timestamp - highest created wins). Passing filter_by_created_timestamp=True adds created_timestamp <= entity_timestamp so backfilled values cannot leak into training data. This pair is the industry precedent closest to the event_time/available_time distinction.,Not applicable - no generation; declarative feature view definitions.,Not applicable - correctness is enforced by join semantics rather than verified. Offline stores that do not support the flag raise an error rather than silently ignoring it.,Not applicable.,Not applicable.,Not applicable.,Not applicable.,Not all offline stores support filter_by_created_timestamp; rows with a NULL created timestamp are excluded when the flag is enabled; documentation covers offline/historical retrieval via get_historical_features() rather than online serving.,TODO (researcher)
river_progressive_val,River documentation: progressive_val_score (delayed progressive validation),Software documentation (River online ML library),n.d. (accessed 2026-09-09),https://riverml.xyz/latest/api/evaluate/progressive-val-score/,Evaluating online and streaming models as they would actually have performed in production; where ground truth arrives after a lag.,Streaming samples each carrying a moment (timestamp) and subject to a delay.,The model predicts each observation before being updated on it; the target is revealed only after the delay parameter; delay may be a constant; an integer; a timedelta; a feature field name; or a callable over features and target; and must be arithmetically compatible with moment. Without a delay samples are simply processed one after another; which does not capture realistic feedback lag.,Not applicable.,Not applicable - this is an evaluation protocol; not a verifier.,Not applicable in the feature-generation sense; the loop is model update rather than proposal feedback.,Not applicable.,Contrasted with cross-validation; which does not respect ordering.,Any online metric; scored progressively.,Not explicitly enumerated in the documentation.,TODO (researcher)
